declon,declat,
-40.942953,-13.114919,
-51.35,-29.733056,
-39.481667,-12.871944,
-39.393889,-12.970831,
-57.503356,-30.200581,
-57.258111,-30.053914,
-55.644836,-29.861686,
-54.494142,-25.6132,
-47.879531,-22.147264,
-54.494142,-25.6132,
-57.100917,-29.824111,
-57.411139,-30.159389,
-56.752056,-29.884944,
-40.011581,-19.013916,
-51.366389,-29.864167,
-48.969467,-28.58645,
-43.566389,-19.293611,
-47.878922,-22.127989,
-52.261111,-15.892778,
-52.261111,-15.892778,
-46.77811,-3.681348,
-46.76321,-3.594685,
-46.80337,-3.572861,
-46.812037,-3.548017,
-46.826005,-3.519767,
-46.619696,-3.50326,
-46.607311,-3.499625,
-46.621855,-3.485186,
-49.542642,-27.054156,
-52.431761,-29.901778,
-53.865278,-27.611944,
-53.865278,-27.611944,
-56.6,-16.133333,
-56.216667,-15.65,
-58.6,-15.783333,
-37.525556,-5.058331,
-52.756111,-27.115556,
-48.262222,-18.911389,
-42.776929,-22.440863,
-44.614317,-22.427694,
-62.5,-5.5,
-43.348511,-21.842536,
-62.5,-5.5,
-50.006219,-29.703461,
-49.997419,-29.686219,
-52.181944,-28.313056,
-55.794714,-19.142142,
-55.794714,-19.142142,
-39.043642,-4.418292,
-39.043642,-4.418292,
-40.146667,-19.054167,
-51.24575,3.242306,
-51.24575,3.242306,
-42.835278,-22.520836,
-49.448864,-28.865981,
-54.735556,-20.5725,
-53305,-27.946389,
-56.41509,-3.36135,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-50.657278,-25.403889,
-50.591611,-25.399861,
-49.178933,-26.73885,
-48.322678,-21.263781,
-48.057982,-15.787027,
-49.202493,-27.11066,
-50.658333,-18.416111,
-51.433333,-18.183333,
-48.810089,-25.671386,
-50.658333,-18.416111,
-50.658333,-18.416111,
-49.899167,-26.789722,
-51.783333,-26.65,
-48.063611,-15.784167,
-48.88255,-27.628622,
-42.043467,-22.424963,
-42.05419,-22.423204,
-42.05419,-22.423204,
-42.05419,-22.423204,
-47.124722,-22.824739,
-51.9516,-23.420406,
-50.398861,-29.438972,
-50.481361,-25.235528,
-49.949583,-25.116083,
-54.580451,-25.434949,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-39.8057,-18.27,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-49926,-24.572667,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-56.6175,-18.9875,
-40.160833,-18375,
-48.59956,-27.085253,
-48.81,-21.89,
-49.199722,-27.064167,
-42.038103,-22.427067,
-42.038103,-22.427067,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-560000000,-300000000,
-41.301414,-20.242408,
-53.84,-24.283889,
-42.038103,-22.427067,
